,date_sold,price,house_id,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,2014-12-09,538000.0,6414100192,2,3,2,2570.0,7242.0,2,0,0,3,7,2170.0,400.0,1951.0,19910.0,98125,47.721,-122.319,1690.0,7639.0
3,2014-12-09,604000.0,2487200875,4,4,3,1960.0,5000.0,1,0,0,5,7,1050.0,910.0,1965.0,0.0,98136,47.5208,-122.393,1360.0,5000.0
4,2015-02-18,510000.0,1954400510,5,3,2,1680.0,8080.0,1,0,0,3,8,1680.0,0.0,1987.0,0.0,98074,47.6168,-122.045,1800.0,7503.0
5,2014-05-12,1230000.0,7237550310,6,4,4,5420.0,101930.0,1,0,0,3,11,3890.0,1530.0,2001.0,0.0,98053,47.6561,-122.005,4760.0,101930.0
8,2015-04-15,229500.0,2414600126,9,3,1,1780.0,7470.0,1,0,0,3,7,1050.0,730.0,1960.0,0.0,98146,47.5123,-122.337,1780.0,8113.0
9,2015-03-12,323000.0,3793500160,10,3,2,1890.0,6560.0,2,0,0,3,7,1890.0,0.0,2003.0,0.0,98038,47.3684,-122.031,2390.0,7570.0
11,2014-05-27,468000.0,9212900260,12,2,1,1160.0,6000.0,1,0,0,4,7,860.0,300.0,1942.0,0.0,98115,47.69,-122.292,1330.0,6000.0
13,2014-10-07,400000.0,6054650070,14,3,1,1370.0,9680.0,1,0,0,4,7,1370.0,0.0,1977.0,0.0,98074,47.6127,-122.045,1370.0,10208.0
14,2015-03-12,530000.0,1175000570,15,5,2,1810.0,4850.0,1,0,0,3,7,1810.0,0.0,1900.0,0.0,98107,47.67,-122.394,1360.0,4850.0
15,2015-01-24,650000.0,9297300055,16,4,3,2950.0,5000.0,2,0,3,3,9,1980.0,970.0,1979.0,0.0,98126,47.5714,-122.375,2140.0,4000.0
16,2014-07-31,395000.0,1875500060,17,3,2,1890.0,14040.0,2,0,0,3,7,1890.0,0.0,1994.0,0.0,98019,47.7277,-121.962,1890.0,14018.0
17,2014-05-29,485000.0,6865200140,18,4,1,1600.0,4300.0,1,0,0,4,7,1600.0,0.0,1916.0,0.0,98103,47.6648,-122.343,1610.0,4300.0
19,2015-04-24,230000.0,7983200060,20,3,1,1250.0,9774.0,1,0,0,4,7,1250.0,0.0,1969.0,0.0,98003,47.3343,-122.306,1280.0,8850.0
20,2014-05-14,385000.0,6300500875,21,4,1,1620.0,4980.0,1,0,0,4,7,860.0,760.0,1947.0,0.0,98133,47.7025,-122.341,1400.0,4980.0
21,2014-08-26,2000000.0,2524049179,22,3,2,3050.0,44867.0,1,0,4,3,9,2330.0,720.0,1968.0,0.0,98040,47.5316,-122.233,4110.0,20336.0
22,2014-07-03,285000.0,7137970340,23,5,2,2270.0,6300.0,2,0,0,3,8,2270.0,0.0,1995.0,0.0,98092,47.3266,-122.169,2240.0,7005.0
24,2014-11-20,329000.0,3814700200,25,3,2,2450.0,6500.0,2,0,0,4,8,2450.0,0.0,1985.0,0.0,98030,47.3739,-122.17298,2200.0,6865.0
25,2014-11-03,233000.0,1202000200,26,3,2,1710.0,4697.0,1,0,0,5,6,1710.0,0.0,1941.0,0.0,98002,47.3048,-122.218,1030.0,4705.0
27,2014-12-01,667000.0,3303700376,28,3,1,1400.0,1581.0,1,0,0,5,8,1400.0,0.0,1909.0,0.0,98112,47.6221,-122.314,1860.0,3861.0
29,2015-03-02,719000.0,1873100390,30,4,2,2570.0,7173.0,2,0,0,3,8,2570.0,0.0,2005.0,0.0,98052,47.7073,-122.11,2630.0,6026.0
30,2014-11-10,580500.0,8562750320,31,3,2,2320.0,3980.0,2,0,0,3,8,2320.0,0.0,2003.0,0.0,98027,47.5391,-122.07,2580.0,3980.0
31,2014-12-01,280000.0,2426039314,32,2,1,1190.0,1265.0,3,0,0,3,7,1190.0,0.0,2005.0,0.0,98133,47.7274,-122.357,1390.0,1756.0
32,2014-06-24,687500.0,461000390,33,4,1,2330.0,5000.0,1,0,0,4,7,1510.0,820.0,1929.0,0.0,98117,47.6823,-122.368,1460.0,5000.0
33,2014-11-10,535000.0,7589200193,34,3,1,1090.0,3000.0,1,0,0,4,8,1090.0,0.0,1929.0,0.0,98117,47.6889,-122.375,1570.0,5080.0
34,2014-12-03,322500.0,7955080270,35,4,2,2060.0,6659.0,1,0,0,3,7,1280.0,780.0,1981.0,0.0,98058,47.4276,-122.157,2020.0,8720.0
35,2014-06-13,696000.0,9547205180,36,3,2,2300.0,3060.0,1,0,0,3,8,1510.0,790.0,1930.0,20020.0,98115,47.6827,-122.31,1590.0,3264.0
36,2014-05-28,550000.0,9435300030,37,4,1,1660.0,34848.0,1,0,0,1,5,930.0,730.0,1933.0,0.0,98052,47.6621,-122.132,2160.0,11467.0
37,2014-12-30,640000.0,2768000400,38,4,2,2360.0,6000.0,2,0,0,4,8,2360.0,0.0,1904.0,0.0,98107,47.6702,-122.362,1730.0,4700.0
38,2015-02-13,240000.0,7895500070,39,4,1,1220.0,8075.0,1,0,0,2,7,890.0,330.0,1969.0,0.0,98001,47.3341,-122.282,1290.0,7800.0
39,2014-06-20,605000.0,2078500320,40,4,2,2620.0,7553.0,2,0,0,3,8,2620.0,0.0,1996.0,0.0,98056,47.5301,-122.18,2620.0,11884.0
41,2014-08-11,775000.0,7766200013,42,4,2,4220.0,24186.0,1,0,0,3,8,2600.0,1620.0,1984.0,0.0,98166,47.445,-122.347,2410.0,30617.0
