,date_sold,price,house_id,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Bedrooms per 100 sqm (Living Area),Bedrooms per 100 sqm (Lot Area),bedrooms_100
0,2014-12-09,5.38,6414100192,2,3,2,2570.0,7242.0,2,0,0,3,7,2170.0,400.0,1951.0,19910.0,98125,47.721,-122.319,1690.0,7639.0,1.256488138270321,0.007229805447470817,Low (1-2)
1,2014-12-09,6.04,2487200875,4,4,3,1960.0,5000.0,1,0,0,5,7,1050.0,910.0,1965.0,0.0,98136,47.5208,-122.393,1360.0,5000.0,2.1967173573841663,0.01421984693877551,Medium (2-3)
2,2015-02-18,5.1,1954400510,5,3,2,1680.0,8080.0,1,0,0,3,8,1680.0,0.0,1987.0,0.0,98074,47.6168,-122.045,1800.0,7503.0,1.9221276877111455,0.011059880952380953,Low (1-2)
3,2014-05-12,12.3,7237550310,6,4,4,5420.0,101930.0,1,0,0,3,11,3890.0,1530.0,2001.0,0.0,98053,47.6561,-122.005,4760.0,101930.0,0.7943848746260085,0.006856309963099631,Very Low (0-1)
4,2015-04-15,2.295,2414600126,9,3,1,1780.0,7470.0,1,0,0,3,7,1050.0,730.0,1960.0,0.0,98146,47.5123,-122.337,1780.0,8113.0,1.8141429861543397,0.005219269662921348,Low (1-2)
5,2015-03-12,3.23,3793500160,10,3,2,1890.0,6560.0,2,0,0,3,7,1890.0,0.0,2003.0,0.0,98038,47.3684,-122.031,2390.0,7570.0,1.7085579446321295,0.009831005291005291,Low (1-2)
6,2014-05-27,4.68,9212900260,12,2,1,1160.0,6000.0,1,0,0,4,7,860.0,300.0,1942.0,0.0,98115,47.69,-122.292,1330.0,6000.0,1.855847422617658,0.008008879310344826,Low (1-2)
7,2014-10-07,4.0,6054650070,14,3,1,1370.0,9680.0,1,0,0,4,7,1370.0,0.0,1977.0,0.0,98074,47.6127,-122.045,1370.0,10208.0,2.357061690039945,0.006781240875912408,Medium (2-3)
8,2015-03-12,5.3,1175000570,15,5,2,1810.0,4850.0,1,0,0,3,7,1810.0,0.0,1900.0,0.0,98107,47.67,-122.394,1360.0,4850.0,2.973457196459231,0.010265524861878454,Medium (2-3)
9,2015-01-24,6.5,9297300055,16,4,3,2950.0,5000.0,2,0,3,3,9,1980.0,970.0,1979.0,0.0,98126,47.5714,-122.375,2140.0,4000.0,1.4595139052450734,0.009447762711864406,Low (1-2)
